STATISTICS.packets_TO_BS3 STATISTICS.DEAD3 STATISTICS.ALLIVE3
26572.00 26575.00 26580.00
26581.00 26584.00 26585.00
26588.00 26591.00 26592.00
26595.00 26598.00 26603.00
26604.00 26609.00 26614.00
26617.00 26622.00 26623.00
26626.00 26627.00 26632.00
26635.00 26636.00 26641.00
26644.00 26647.00 26648.00
26653.00 26656.00 26659.00
26662.00 26663.00 26668.00
26671.00 26674.00 26675.00
26676.00 26681.00 26684.00
26691.00 26694.00 26697.00
26698.00 26701.00 26704.00
26707.00 26710.00 26713.00
26718.00 26725.00 26728.00
26731.00 26732.00 26733.00
26734.00 26739.00 26740.00
26741.00 26744.00 26747.00
26754.00 26755.00 26758.00
26759.00 26764.00 26767.00
26770.00 26773.00 26774.00
26777.00 26780.00 26781.00
26786.00 26789.00 26794.00
26795.00 26800.00 26803.00
26806.00 26811.00 26814.00
26815.00 26816.00 26819.00
26824.00 26827.00 26830.00
26831.00 26834.00 26837.00
26840.00 26841.00 26842.00
26845.00 26854.00 26855.00
26860.00 26863.00 26868.00
26871.00 26876.00 26879.00
26882.00 26883.00 26884.00
26889.00 26890.00 26891.00
26892.00 26895.00 26896.00
26905.00 26906.00 26909.00
26914.00 26917.00 26922.00
26925.00 26928.00 26931.00
26932.00 26935.00 26938.00
26939.00 26944.00 26945.00
26946.00 26949.00 26950.00
26957.00 26964.00 26969.00
26970.00 26973.00 26974.00
26977.00 26980.00 26983.00
26986.00 26987.00 26992.00
26997.00 27000.00 27003.00
27004.00 27007.00 27008.00
27009.00 27014.00 27017.00
27020.00 27021.00 27024.00
27031.00 27034.00 27037.00
27040.00 27043.00 27044.00
27049.00 27050.00 27053.00
27056.00 27061.00 27064.00
27067.00 27072.00 27073.00
27076.00 27077.00 27084.00
27089.00 27092.00 27093.00
27094.00 27097.00 27102.00
27103.00 27104.00 27113.00
27116.00 27119.00 27122.00
27123.00 27124.00 27131.00
27136.00 27139.00 27142.00
27145.00 27146.00 27147.00
27150.00 27151.00 27154.00
27155.00 27156.00 27157.00
27166.00 27169.00 27174.00
27177.00 27180.00 27181.00
27184.00 27189.00 27190.00
27195.00 27200.00 27201.00
27204.00 27205.00 27208.00
27211.00 27214.00 27217.00
27222.00 27229.00 27232.00
27235.00 27236.00 27239.00
27242.00 27243.00 27244.00
27247.00 27250.00 27251.00
27254.00 27259.00 27262.00
27265.00 27268.00 27271.00
27274.00 27277.00 27280.00
27283.00 27284.00 27289.00
27294.00 27299.00 27300.00
27303.00 27304.00 27305.00
27308.00 27309.00 27314.00
27317.00 27320.00 27323.00
27328.00 27329.00 27334.00
27335.00 27338.00 27341.00
27344.00 27347.00 27352.00
27357.00 27362.00 27363.00
27364.00 27367.00 27368.00
27373.00 27374.00 27377.00
27380.00 27387.00 27390.00
27391.00 27394.00 27399.00
27402.00 27405.00 27412.00
27415.00 27416.00 27417.00
27418.00 27423.00 27424.00
27427.00 27428.00 27437.00
27440.00 27441.00 27442.00
27445.00 27448.00 27449.00
27454.00 27457.00 27458.00
27459.00 27460.00 27469.00
